ID_Error_V1_Out,ERR_RDG_M_TMatrix_ABS_CRS,ERR_RDG_M_TMatrix_SCA_CRS,ERR_RDG_M_TMatrix_ABS_CRS_Percent,ERR_RDG_M_TMatrix_SCA_CRS_Percent,created_at,updated_at,MLink
9426,-0.000974932932332962,-0.00018493661813011555,-12.613468555654668,-28.845026477499616,2019-07-16 16:15:09,2019-07-16 16:15:09,9426
9427,-0.005055283437938882,6.823026631707552e-05,-8.966170899393552,1.2396777399967298,2019-07-16 17:04:00,2019-07-16 17:04:00,9427
9428,-0.0005705668239311044,-1.3919494478091584e-05,-10.357104749074159,-2.1162299600609384,2019-07-16 17:04:00,2019-07-16 17:04:00,9428
9429,-0.000984456569236694,-3.5266627428174016e-05,-11.62041794513659,-6.33297996168967,2019-07-16 17:04:00,2019-07-16 17:04:00,9429
9430,-0.01581622865581903,0.0002649640602558616,-9.807787209130376,0.6471851527654692,2019-07-16 17:04:00,2019-07-16 17:04:00,9430
9431,-0.003863234418298263,-0.00028974772436685125,-10.77342140683686,-6.049437703232243,2019-07-16 17:04:00,2019-07-16 17:04:00,9431
9432,-0.0016401253129900981,-9.541806595792475e-05,-9.995698791570868,-12.4467281808638,2019-07-16 17:04:00,2019-07-16 17:04:00,9432
9433,-0.005429236451223492,0.001325365511769926,-7.892806406491451,10.268428069522903,2019-07-16 17:04:00,2019-07-16 17:04:00,9433
9434,-0.00022914818433003803,-5.554636861478662e-05,-10.961281652956266,-17.245898820902756,2019-07-16 17:04:00,2019-07-16 17:04:00,9434
9435,3.484163299667272e-05,0.0006164407449027422,0.08559272432109682,17.937904720926017,2019-07-16 17:04:00,2019-07-16 17:04:00,9435
9436,-2.6127301753089152e-05,0.00028982433818487734,-0.08862015643163934,15.074208710755668,2019-07-16 17:04:00,2019-07-16 17:04:00,9436
9437,-0.0010067433650004978,0.00046883665678190825,-2.365511232378829,10.630665857129095,2019-07-16 17:04:00,2019-07-16 17:04:00,9437
9438,-0.0022434548333350535,-5.650994809493223e-05,-7.192934108470722,-2.170704767514848,2019-07-16 17:04:00,2019-07-16 17:04:00,9438
9439,0.007679918164812776,0.011250331951066195,3.637610150281439,28.98797415150919,2019-07-16 17:04:00,2019-07-16 17:04:00,9439
9440,0.022725025787437566,0.009127680772864325,8.986539637824551,22.182651140312466,2019-07-16 17:04:00,2019-07-16 17:04:00,9440
9441,-0.0012326217426290188,-0.00038027518341014684,-2.908682386128698,-9.594128790925879,2019-07-16 17:04:00,2019-07-16 17:04:00,9441
9442,-0.013260040190536039,-0.0028840986949003633,-10.548156767583473,-10.767160197750172,2019-07-16 17:04:00,2019-07-16 17:04:00,9442
9443,-1.1167721128208039e-05,5.919140912634053e-05,-0.06882371611662755,13.370108552133667,2019-07-16 17:04:00,2019-07-16 17:04:00,9443
9444,0.005488117885792519,0.0007641527431890918,12.585155376364977,31.6369854870755,2019-07-16 17:04:00,2019-07-16 17:04:00,9444
9445,-0.00046411537339772325,-5.2891199542017186e-05,-12.576572696576227,-27.313152508659666,2019-07-16 17:04:00,2019-07-16 17:04:00,9445
9446,0.0002828235363280934,-0.00045477347321031013,0.5822762082800509,-14.724084764811565,2019-07-16 17:04:00,2019-07-16 17:04:00,9446
9447,-0.0065178702334149725,0.000607794854512193,-11.2775932671767,6.888520763056,2019-07-16 17:04:00,2019-07-16 17:04:00,9447
9448,-0.00010708576929337933,0.0023204861282901863,-0.09988304881777238,18.419520389349117,2019-07-16 17:04:00,2019-07-16 17:04:00,9448
9449,-0.0030750044092293432,-0.000984456639064981,-8.030797640218822,-14.37533480957026,2019-07-16 17:04:00,2019-07-16 17:04:00,9449
9450,0.003813650376291,0.0009828938197718035,4.106528213012624,14.201327253629179,2019-07-16 17:04:00,2019-07-16 17:04:00,9450
9451,-0.00642445193040146,0.00017010753120986826,-11.73756320615218,3.026605662201801,2019-07-16 17:04:00,2019-07-16 17:04:00,9451
9452,-0.0013206475791359327,-3.786844647034631e-05,-8.551526824126917,-3.5294558582792113,2019-07-16 17:04:00,2019-07-16 17:04:00,9452
9453,0.004573578943652546,0.0022651374243842374,6.628980220906341,36.46345906227893,2019-07-16 17:22:08,2019-07-16 17:22:08,9453
9454,-0.0009593648686711822,-0.0003069497348556855,-18.516530189077137,-9.688599013928101,2019-07-16 17:22:08,2019-07-16 17:22:08,9454
9455,-0.0006046829470571502,-0.00012789398878401735,-8.334460639765936,-26.07890451191017,2019-07-16 17:22:08,2019-07-16 17:22:08,9455
9456,-0.004965633986397795,-0.000602826029051851,-17.167759594012896,-13.476360749652743,2019-07-16 17:22:08,2019-07-16 17:22:08,9456
9457,-0.00017221505328280875,-3.237018310874988e-05,-5.542116481591677,-16.003240478068022,2019-07-16 17:22:08,2019-07-16 17:22:08,9457
9458,-0.002543736017268112,0.008796077116904692,-1.6749998451727164,25.268695727691366,2019-07-16 17:22:08,2019-07-16 17:22:08,9458
9459,-0.00012909244411906566,6.679002181005477e-05,-0.5980189457749655,9.65910350763638,2019-07-16 17:22:08,2019-07-16 17:22:08,9459
9460,-0.010983182283194398,0.0014081420893330054,-9.39588169643151,4.734124079929452,2019-07-16 17:22:08,2019-07-16 17:22:08,9460
9461,-0.005769897357327395,6.602592165283672e-05,-13.604555286993403,1.471393839532422,2019-07-16 17:22:08,2019-07-16 17:22:08,9461
9462,-0.0014183560698623832,0.00014358436300750913,-6.587021294998323,8.08816149930655,2019-07-16 17:22:08,2019-07-16 17:22:08,9462
9463,0.0007405519308163884,0.00012338888814496525,1.0510099676521527,2.0195293618643686,2019-07-16 17:22:08,2019-07-16 17:22:08,9463
9464,-0.0015858179075364503,6.183660929619741e-05,-7.373043253072809,4.232465648380458,2019-07-16 17:22:08,2019-07-16 17:22:08,9464
9465,0.005429893691070866,0.0016997299606358255,6.872528985627129,18.418868872036427,2019-07-16 17:22:08,2019-07-16 17:22:08,9465
9466,0.0020183014543333788,-1.8297273984729298e-05,5.583470604631471,-1.006251425690968,2019-07-16 17:22:08,2019-07-16 17:22:08,9466
9467,0.006566957112786973,0.000910266043871593,6.356997903922673,13.500600955428249,2019-07-16 17:22:08,2019-07-16 17:22:08,9467
9468,-0.0032950997478234582,0.0017826874554492755,-1.9016386617650534,8.933430296189439,2019-07-16 17:22:08,2019-07-16 17:22:08,9468
9469,-0.006223268398647574,0.0011289051358726078,-7.430209580528737,7.864724621637833,2019-07-16 17:22:08,2019-07-16 17:22:08,9469
9470,-0.002773776164834181,0.0014171653942072115,-3.11463843498767,10.589913593237174,2019-07-16 17:22:08,2019-07-16 17:22:08,9470
9471,-0.0003040387230689742,-0.00015722712201445406,-1.0794510191093334,-10.20554134385815,2019-07-16 17:22:08,2019-07-16 17:22:08,9471
9472,2.4472332297198064e-05,-3.632257498493919e-05,0.23372816686310655,-11.555828451667264,2019-07-16 17:22:08,2019-07-16 17:22:08,9472
9473,0.001984004081776044,0.00041895994821184064,4.692870144556585,21.784829960460378,2019-07-16 17:22:08,2019-07-16 17:22:08,9473
9474,0.0003967645553101961,0.0011599737992081464,0.3004060860912555,7.429983243012081,2019-07-16 17:22:08,2019-07-16 17:22:08,9474
9475,-0.0005432616980777706,-4.331889006949318e-05,-6.737048321583811,-11.256666760377867,2019-07-16 17:22:08,2019-07-16 17:22:08,9475
9476,0.017056570598199778,0.003105059059571327,10.051006561645234,15.888360685199936,2019-07-16 17:22:08,2019-07-16 17:22:08,9476
9477,-0.0022220335205638186,-7.122298472707109e-05,-18.055147740254952,-3.6343407781205,2019-07-16 17:22:08,2019-07-16 17:22:08,9477
9478,3.4055640083537624e-05,-3.396196292931482e-06,0.4770921899780083,-2.7452249991413855,2019-07-16 17:22:08,2019-07-16 17:22:08,9478
9479,-0.0012300014842452868,0.0010512540420373104,-2.3465557107842097,14.290158303837652,2019-07-16 17:22:08,2019-07-16 17:22:08,9479
9480,-0.011388812378823632,0.034572825807874984,-1.5818420514716527,9.773014460497636,2019-07-16 17:22:08,2019-07-16 17:22:08,9480
9481,0.005531875783755797,0.0033380002805331118,5.7778208439239815,28.635989183769958,2019-07-16 17:26:52,2019-07-16 17:26:52,9481
9482,-0.009918881365469803,0.0010301002161647442,-8.622806212320484,4.447480372077272,2019-07-16 17:26:52,2019-07-16 17:26:52,9482
9483,-0.01748172676119176,0.0023930592066604105,-13.528208567917256,5.226989493972469,2019-07-16 17:26:52,2019-07-16 17:26:52,9483
9484,0.014697825977811954,0.007944351806907798,7.68779227519043,25.9214139504148,2019-07-16 17:26:52,2019-07-16 17:26:52,9484
9485,-0.0005734624133650957,-9.558858454234117e-05,-8.941271649150167,-29.32194329883602,2019-07-16 17:26:52,2019-07-16 17:26:52,9485
9486,-0.0032935325669641055,0.001251546092422996,-4.015078350001155,15.163706028874316,2019-07-16 17:26:52,2019-07-16 17:26:52,9486
9487,-0.001358679461153534,0.0003342948141532233,-3.5330833176395124,11.160511284160707,2019-07-16 17:26:52,2019-07-16 17:26:52,9487
9488,-0.0005300914249544326,-7.877621010648998e-05,-1.7982357482103937,-5.334175284602519,2019-07-16 17:26:52,2019-07-16 17:26:52,9488
9489,-0.0037887534100965337,0.002178448566208248,-4.6371629479890135,13.236587302803285,2019-07-16 17:26:52,2019-07-16 17:26:52,9489
9490,0.0025321400108584352,0.0022833940666608966,2.496181011245866,13.576238526310043,2019-07-16 17:26:52,2019-07-16 17:26:52,9490
9491,-0.005810539143913629,-5.725458598838657e-05,-11.5755759200734,-0.44144218029697085,2019-07-16 17:26:52,2019-07-16 17:26:52,9491
9492,-0.00469517566995582,0.0014034261938144664,-5.73844179472486,14.748999124437864,2019-07-16 17:26:52,2019-07-16 17:26:52,9492
9493,0.0007351717188311084,5.3999951138297465e-05,4.886920521891654,19.289776980516415,2019-07-16 17:26:52,2019-07-16 17:26:52,9493
9494,-0.0020046458376675055,0.00018769535223326598,-4.633244961383124,4.0973011840431335,2019-07-16 17:26:52,2019-07-16 17:26:52,9494
9495,-0.0007364686054471888,1.793790199883137e-05,-6.388546426165703,3.4995089530502907,2019-07-16 17:26:52,2019-07-16 17:26:52,9495
9496,-2.1837039311529988e-05,0.009157584600578333,-0.012455529534319278,22.216550098009794,2019-07-16 17:26:52,2019-07-16 17:26:52,9496
9497,-0.011923114323956907,0.0052863091637976615,-8.840872460472399,15.053953832192168,2019-07-16 17:26:52,2019-07-16 17:26:52,9497
9498,0.015058063098996365,0.004919487142825137,13.816485342867198,44.738689638713396,2019-07-16 17:26:52,2019-07-16 17:26:52,9498
9499,0.0006643613992575176,0.002790142988211089,0.5374405251427402,13.196612514581869,2019-07-16 17:26:52,2019-07-16 17:26:52,9499
9500,0.0032001399186200015,0.0019342997212981614,4.680416874404447,25.544676324778656,2019-07-16 17:26:52,2019-07-16 17:26:52,9500
9501,-0.0055864131268791506,-0.0001656281859009475,-14.52804330791913,-2.5986807015003417,2019-07-16 17:26:52,2019-07-16 17:26:52,9501
9502,-0.0006023588272780506,4.055972487391868e-05,-4.476793034589568,8.102143999358285,2019-07-16 17:26:52,2019-07-16 17:26:52,9502
9503,-0.006470358327836136,0.01016897676490535,-3.177140076144991,20.773454094460416,2019-07-16 17:26:52,2019-07-16 17:26:52,9503
9504,-8.402334208822391e-05,-1.1144724086700001e-05,-1.3880194335822653,-5.2511974347979145,2019-07-16 17:26:52,2019-07-16 17:26:52,9504
9505,0.004338403636848571,0.0012839059796685588,5.235062496113932,16.2009259648394,2019-07-16 17:26:52,2019-07-16 17:26:52,9505
9506,0.008170644381471788,0.0006871959614393744,9.746163757354683,12.169038611685439,2019-07-16 17:26:52,2019-07-16 17:26:52,9506
9507,0.04017466465426776,0.020308062274627524,10.285141390916834,24.902137527669172,2019-07-16 17:30:25,2019-07-16 17:30:25,9507
9508,3.952843796496793e-05,-4.6526461023739615e-06,0.7649845302628705,-6.176321430113481,2019-07-16 17:30:25,2019-07-16 17:30:25,9508
9509,0.00032671031156194044,3.4745653078595544e-06,0.9093147717458269,0.1496085370245557,2019-07-16 17:30:25,2019-07-16 17:30:25,9509
9510,0.007332783964270095,0.004141684428133798,4.545429678830152,18.083944800914793,2019-07-16 17:30:25,2019-07-16 17:30:25,9510
9511,0.004809635839815192,0.0017873632351045493,8.828582493755434,33.91304368258869,2019-07-16 17:30:25,2019-07-16 17:30:25,9511
9512,-0.014672219273037907,0.00821421358004488,-7.971268517106127,14.708729144754619,2019-07-16 17:30:25,2019-07-16 17:30:25,9512
9513,-0.0058356889220346425,-0.00046123268567376034,-3.1449388570126913,-1.2597103584654143,2019-07-16 17:30:25,2019-07-16 17:30:25,9513
9514,0.0059176147579305905,0.005495613292450647,4.374012656563021,26.986245831152317,2019-07-16 17:30:25,2019-07-16 17:30:25,9514
9515,-0.0004196113178976271,0.00035792934573941913,-1.1066741231870068,18.652020366291527,2019-07-16 17:30:25,2019-07-16 17:30:25,9515
9516,0.0035125345765053104,0.00042332584033801137,3.693338354610454,5.820234307074155,2019-07-16 17:30:25,2019-07-16 17:30:25,9516
9517,-0.00521558228795492,0.0028985967668789863,-4.250550736992643,13.864411335593259,2019-07-16 17:30:25,2019-07-16 17:30:25,9517
9518,0.015685487234258097,0.003857402662065153,7.721777414431104,13.486226255913873,2019-07-16 17:30:25,2019-07-16 17:30:25,9518
9519,-0.002741419223757885,0.0008869617315504757,-5.016033058314818,19.285388496541746,2019-07-16 17:30:25,2019-07-16 17:30:25,9519
9520,-0.0061758539094904,-0.00018807006348749728,-6.9319633368182005,-1.264418810737313,2019-07-16 17:30:25,2019-07-16 17:30:25,9520
9521,-0.014023070975256036,-0.001798243133814965,-8.966763801806225,-8.462193389870125,2019-07-16 17:30:25,2019-07-16 17:30:25,9521
9522,-0.0030899383111101645,-7.094262025158603e-05,-7.393859063819651,-1.9637127310491536,2019-07-16 17:30:25,2019-07-16 17:30:25,9522
9523,-0.006287664522263879,-0.0018437452149911145,-11.144186980844047,-19.560314487399953,2019-07-16 17:30:25,2019-07-16 17:30:25,9523
9524,0.0011397288420327755,0.0032653824936301626,1.0517459273840888,20.502826428581937,2019-07-16 17:30:25,2019-07-16 17:30:25,9524
9525,-0.00512889925782681,0.0008309497282424897,-7.723699006163385,11.609252413641661,2019-07-16 17:30:25,2019-07-16 17:30:25,9525
9526,-0.0011741194905333112,9.729862357341742e-05,-4.556228485987157,5.380856934386998,2019-07-16 17:30:25,2019-07-16 17:30:25,9526
9527,-0.009083234907626813,0.00022716407420030066,-17.40057612685188,1.1578949313543672,2019-07-16 17:30:25,2019-07-16 17:30:25,9527
9528,0.0034182752766711124,0.0005504383509767903,7.735482680120824,19.69173129766259,2019-07-16 17:30:25,2019-07-16 17:30:25,9528
9529,-0.003520341233788649,0.0001281921506117475,-3.3199504057257316,0.8508812806072374,2019-07-16 17:30:25,2019-07-16 17:30:25,9529
9530,0.0005043184249719005,5.477322264187302e-05,2.6000690341489907,14.60538574328296,2019-07-16 17:30:25,2019-07-16 17:30:25,9530
9531,-0.005277840205792824,0.00032560997195954223,-7.914036102229115,4.1772093362245455,2019-07-16 17:30:25,2019-07-16 17:30:25,9531
9532,-0.011283142783680969,-0.0002720687814083553,-12.251793606443893,-1.2775178976250048,2019-07-16 17:38:04,2019-07-16 17:38:04,9532
9533,0.017552913960076178,0.010118849053700484,8.132554911318442,30.27742091015736,2019-07-16 17:38:04,2019-07-16 17:38:04,9533
9534,-0.0004248057286174503,-0.00012183068367786953,-9.342391521559273,-47.98307656696859,2019-07-16 17:38:04,2019-07-16 17:38:04,9534
9535,-0.001083911792902369,-6.991188569720976e-05,-15.874784413121102,-13.750335473687796,2019-07-16 17:38:04,2019-07-16 17:38:04,9535
9536,-0.00011051393225577899,-0.00014363438592093105,-5.070134990144619,-10.610921483885296,2019-07-16 17:38:04,2019-07-16 17:38:04,9536
9537,-0.007343264882927913,0.009117928373996555,-4.2824932187222435,22.291169474406562,2019-07-16 17:38:04,2019-07-16 17:38:04,9537
9538,-0.0006808978780141559,4.1695593780752255e-05,-5.161167786281748,7.630919240645083,2019-07-16 17:38:04,2019-07-16 17:38:04,9538
9539,4.92594136629098e-05,5.562272354242574e-05,0.26009730308148116,7.205627002979598,2019-07-16 17:38:04,2019-07-16 17:38:04,9539
9540,-0.007179196273399977,-0.0002338375892179177,-12.416590394510468,-2.1093674125601853,2019-07-16 17:38:04,2019-07-16 17:38:04,9540
9541,0.0004994461879148785,-7.070955373416808e-06,2.446465035794725,-0.660905145988563,2019-07-16 17:38:04,2019-07-16 17:38:04,9541
9542,-0.000651155211027314,-0.00011436886509057615,-14.300527642117476,-42.029513332962765,2019-07-16 17:38:04,2019-07-16 17:38:04,9542
9543,-0.008451039779533162,0.0061011596001718064,-4.811750923992942,12.956419490622787,2019-07-16 17:38:04,2019-07-16 17:38:04,9543
9544,-0.00010769296786845026,-6.404887745080831e-05,-1.7591954564083212,-26.67351293948587,2019-07-16 17:38:04,2019-07-16 17:38:04,9544
9545,-0.02300330101427412,0.03003854316243369,-8.902254556762644,24.271051823651806,2019-07-16 17:38:04,2019-07-16 17:38:04,9545
9546,-0.01423956342384137,-0.0002158251134519293,-18.58226336379226,-0.8165266556351156,2019-07-16 17:38:04,2019-07-16 17:38:04,9546
9547,0.013487517917156302,0.002944749213097092,8.212468608317314,14.669431442731204,2019-07-16 17:40:23,2019-07-16 17:40:23,9547
9548,-0.006013007819420999,0.001499259746718708,-8.247902722745968,13.46679897884257,2019-07-16 17:40:23,2019-07-16 17:40:23,9548
9549,0.02587124350987271,0.01111926489419893,6.93951619786541,13.707817221685202,2019-07-16 17:40:23,2019-07-16 17:40:23,9549
9550,-0.0035402651364683044,-0.0001673801969403112,-8.136993861562537,-3.500348799931174,2019-07-16 17:40:23,2019-07-16 17:40:23,9550
9551,-0.00278497001925643,-0.001049214661014919,-18.36337068053056,-7.392741209676224,2019-07-16 17:40:23,2019-07-16 17:40:23,9551
9552,-0.001507311274693705,0.0001433910406023327,-7.647509899327851,13.33231894603098,2019-07-16 17:40:23,2019-07-16 17:40:23,9552
9553,-0.0014419021387984167,0.014867105216920152,-0.9553448122867563,35.29763955180235,2019-07-16 17:40:23,2019-07-16 17:40:23,9553
9554,-0.0004724093942669899,0.0013784370538062673,-0.800712979595267,20.973537207958657,2019-07-16 17:40:23,2019-07-16 17:40:23,9554
9555,-0.0007428424877604375,0.004771766108225682,-0.8060918175270283,26.762801511469693,2019-07-16 17:40:23,2019-07-16 17:40:23,9555
9556,-0.00023157141065657127,-2.111592296471836e-05,-7.478145095622925,-22.4284301448392,2019-07-16 17:40:23,2019-07-16 17:40:23,9556
9557,-0.0018451046255929717,0.0027525712430923666,-1.5679598061966622,18.3982444130386,2019-07-16 17:40:23,2019-07-16 17:40:23,9557
9558,-0.001828714808502983,-0.0004145411926262224,-8.759176537958634,-22.688673310049822,2019-07-16 17:40:23,2019-07-16 17:40:23,9558
9559,-0.01761107634429283,0.00019220025571198415,-14.711662072343087,0.7087383687568084,2019-07-16 17:40:23,2019-07-16 17:40:23,9559
9560,-0.002393487693635611,0.00012313710104034373,-5.019669799246567,3.1050418108854427,2019-07-16 17:40:23,2019-07-16 17:40:23,9560
9561,0.0019648270987841364,0.001001944235573159,3.424679037857921,15.807273455727909,2019-07-16 17:40:23,2019-07-16 17:40:23,9561
9562,0.016665527287560895,0.006608725519827112,15.451105701135946,43.41554855338887,2019-07-16 17:40:23,2019-07-16 17:40:23,9562
9563,-0.0010241996839375179,-7.48978916039844e-05,-13.00070100470656,-11.378804290205421,2019-07-16 17:40:23,2019-07-16 17:40:23,9563
9564,-0.005934280807206836,-0.000790718692999454,-11.704330795224033,-10.496121514219624,2019-07-16 17:40:23,2019-07-16 17:40:23,9564
9565,0.004240715020867273,0.008511878586471611,3.0654889784817874,32.825307326446755,2019-07-16 17:43:34,2019-07-16 17:43:34,9565
9566,-0.00035691460920068757,-7.251951776241939e-05,-3.8934309626525754,-18.61828354653014,2019-07-16 17:43:34,2019-07-16 17:43:34,9566
9567,-0.004724117928614013,-0.0003840437019807312,-8.405272048805566,-3.5543184761261997,2019-07-16 17:43:34,2019-07-16 17:43:34,9567
9568,-0.004049936438007153,0.00013218996973196522,-11.38022568696429,2.3503382105618877,2019-07-16 17:43:34,2019-07-16 17:43:34,9568
9569,-0.00047391610750951334,0.0001817473695419162,-2.0188658837980435,14.148205106845221,2019-07-16 17:43:34,2019-07-16 17:43:34,9569
