ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
94,0.0036534613942995715,0.00013313521631919676,2019-07-16 06:10:03,2019-07-16 06:10:03,94
95,0.0014866941661250297,3.154710686878428e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,95
96,0.011244982948582078,0.0008548724787353342,2019-07-16 06:10:03,2019-07-16 06:10:03,96
97,0.002451645994384524,5.471849381515347e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,97
98,0.0011583298312946263,1.6739971909151423e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,98
99,0.00292927080436743,8.517594519028284e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,99
100,0.0011895844626269717,2.139452714569853e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,100
101,0.0013650169547804497,2.8148388062006742e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,101
102,0.0075232167964264405,0.0002520922569017728,2019-07-16 06:10:03,2019-07-16 06:10:03,102
103,0.0013202953427435995,1.552568448014014e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,103
104,0.0009464127306803582,2.93853148788943e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,104
105,0.0024569851008702575,1.6663141212375177e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,105
106,0.002827658090625794,6.436364129761479e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,106
107,0.005651762263609323,0.00027467943164160316,2019-07-16 06:10:03,2019-07-16 06:10:03,107
108,0.0034062768528982704,9.785404409731849e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,108
109,0.006415247333419914,0.00016332164135596328,2019-07-16 06:10:03,2019-07-16 06:10:03,109
110,0.006215664103995698,0.0002892151522524725,2019-07-16 06:10:03,2019-07-16 06:10:03,110
111,0.007195728032007838,0.00035170449451828184,2019-07-16 06:10:03,2019-07-16 06:10:03,111
112,0.0014866224543204217,2.6988522952217886e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,112
113,0.007375853907308499,0.00031422729358735233,2019-07-16 06:10:03,2019-07-16 06:10:03,113
114,0.008861843327028298,0.0003512969891858411,2019-07-16 06:10:03,2019-07-16 06:10:03,114
115,0.002204520930487863,5.259551959404405e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,115
116,0.004812811901769857,0.00024600394565053613,2019-07-16 06:10:03,2019-07-16 06:10:03,116
117,0.010505042797171757,0.0006546281555708889,2019-07-16 06:10:03,2019-07-16 06:10:03,117
118,0.014969891637717867,0.0013245156651657476,2019-07-16 06:10:03,2019-07-16 06:10:03,118
119,0.0066782424134928,0.0010037441959974774,2019-07-16 06:10:03,2019-07-16 06:10:03,119
120,0.0038358563599505415,0.0001751557110263381,2019-07-16 06:10:03,2019-07-16 06:10:03,120
